Year,Legal biomass,Mature biomass
1979,"212,293","290,048"
1980,"197,891","269,842"
1981,"150,702","183,405"
1982,"87,779","115,568"
1983,"73,836","115,159"
1984,"81,586","107,385"
1985,"58,481","90,358"
1986,"68,338","95,599"
1987,"73,495","106,804"
1988,"81,798","131,817"
1989,"98,021","153,188"
1990,"111,203","233,454"
1991,"192,454","290,216"
1992,"223,887","387,799"
1993,"272,980","373,447"
1994,"237,569","343,318"
1995,"218,770","348,774"
1996,"264,741","421,746"
1997,"301,059","470,612"
1998,"333,482","536,760"
1999,"423,812","607,069"
2000,"376,014","590,663"
2001,"443,408","606,334"
2002,"392,446","572,871"
2003,"382,864","548,494"
2004,"359,324","450,017"
2005,"321,558","435,621"
2006,"236,535","294,886"
2007,"194,012","241,518"
2008,"186,681","255,256"
2009,"207,365","246,917"
2010,"210,094","246,309"
2011,"197,677","220,662"
2012,"174,682","224,301"
2013,"187,170","217,079"
2014,"188,000","252,309"
2015,"221,606","297,526"
2016,"253,308","354,469"
2017,317043.4035,466288.4421
2018,317185.1066,407156.0347
2019,320507,359523
2020," 301,219 "," 361,007 "
2021," 308,746 "," 377,095 "
2022," 313,371 "," 456,921 "
2023,394047.8464,560706.5099
2024,447848.5068,582519.7809
